TX,Republican,Very conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
IA,Independent,Somewhat conservative,Christian (Just Christian),Not applicable/Does not have vaginal intercourse/sex,Not very concerned
MO,Democrat,Somewhat liberal,"Catholic, Roman Catholic",Refused,Very concerned
TN,Independent,Somewhat conservative,Church of God,Never,Very concerned
CA,Republican,Very conservative,Lutheran,Never,Not at all concerned
IL,Independent,Very conservative,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
WA,Independent,Very liberal,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Very concerned
AL,Republican,Somewhat conservative,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
OK,Republican,Very conservative,Protestant,Never,Not at all concerned
DC,Democrat,Very liberal,Atheist,Every time,Very concerned
CA,Independent,Moderate,Agnostic,Not applicable/Does not have vaginal intercourse/sex,Not very concerned
WA,Democrat,Somewhat liberal,"Catholic, Roman Catholic",Never,Very concerned
OR,Refused,Don't know,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
CA,Democrat,Moderate,"Catholic, Roman Catholic",Never,Very concerned
CA,Republican,Very conservative,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
CA,Republican,Very liberal,"Catholic, Roman Catholic",Never,Very concerned
CA,Democrat,Somewhat liberal,Christian (Just Christian),Not applicable/Does not have vaginal intercourse/sex,Very concerned
AL,Democrat,Moderate,Baptist,Never,Very concerned
TN,Democrat,Moderate,Nothing in particular,Every time,Not at all concerned
GA,Democrat,Refused,Baptist,Once in a while,Not at all concerned
SC,Republican,Moderate,Nothing in particular,Never,Not at all concerned
PA,Republican,Moderate,Protestant,Never,Very concerned
VA,Democrat,Moderate,Nothing in particular,Every time,Somewhat concerned
NM,Democrat,Moderate,Muslim/Islamic,Never,Not very concerned
VA,Democrat,Very liberal,Atheist,Never,Very concerned
WV,Independent,Moderate,Nothing in particular,Every time,Not very concerned
AZ,Independent,Somewhat liberal,"Catholic, Roman Catholic",Every time,Somewhat concerned
OK,Democrat,Moderate,Baptist,Every time,Very concerned
MN,Democrat,Somewhat liberal,"Catholic, Roman Catholic",Never,Very concerned
FL,Independent,Don't know,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
CA,Democrat,Somewhat liberal,Protestant,Never,Not at all concerned
RI,Independent,Somewhat conservative,"Catholic, Roman Catholic",Never,Not very concerned
AZ,Independent,Moderate,"Catholic, Roman Catholic",Never,Not at all concerned
PA,Independent,Somewhat conservative,Protestant,Never,Not at all concerned
NJ,Independent,Moderate,"Catholic, Roman Catholic",Never,Very concerned
CA,Democrat,Moderate,"Catholic, Roman Catholic",Never,Somewhat concerned
MN,Independent,Somewhat conservative,Protestant,Never,Not at all concerned
NV,Democrat,Somewhat liberal,Nothing in particular,Every time,Very concerned
AZ,Republican,Very conservative,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Never,Not at all concerned
NJ,Independent,Somewhat liberal,Protestant,Almost every time,Very concerned
NJ,Independent,Moderate,Protestant,Never,Not at all concerned
PA,Independent,Very liberal,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Not very concerned
MN,Democrat,Very liberal,Buddhist,Not applicable/Does not have vaginal intercourse/sex,Very concerned
FL,Refused,Very conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
PA,Independent,Moderate,"Catholic, Roman Catholic",Never,Not at all concerned
FL,Republican,Somewhat conservative,Protestant,Never,Not at all concerned
IL,Democrat,Moderate,Nothing in particular,Every time,Not at all concerned
OH,Democrat,Somewhat conservative,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
MI,Democrat,Very liberal,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Very concerned
MD,Independent,Moderate,Christian (Just Christian),Refused,Not very concerned
DE,Democrat,Very liberal,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Very concerned
CA,Refused,Very conservative,Lutheran,Not applicable/Does not have vaginal intercourse/sex,Not applicable/don't believe in birth control
CA,Independent,Moderate,Protestant,Never,Not at all concerned
VA,Democrat,Somewhat conservative,Protestant,Once in a while,Not very concerned
NV,Republican,Somewhat conservative,Lutheran,Never,Very concerned
MA,Don't know,Somewhat conservative,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
SC,Republican,Somewhat conservative,Christian (Just Christian),Not applicable/Does not have vaginal intercourse/sex,Not applicable/don't believe in birth control
TX,Democrat,Moderate,Christian (Just Christian),Never,Not very concerned
IL,Democrat,Somewhat conservative,"Pentecostal (Assemblies of God, Four-Square Gospel)",Never,Somewhat concerned
NY,Democrat,Very conservative,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Very concerned
MI,Refused,Moderate,"Catholic, Roman Catholic",Refused,Very concerned
FL,Republican,Very conservative,"Catholic, Roman Catholic",Every time,Somewhat concerned
TX,Republican,Very conservative,Christian (Just Christian),Never,Very concerned
SC,Democrat,Moderate,Protestant,Once in a while,Not very concerned
KY,Democrat,Somewhat liberal,"Catholic, Roman Catholic",Never,Very concerned
IN,Independent,Somewhat conservative,Protestant,Never,Not very concerned
OH,Republican,Moderate,Protestant,Never,Not at all concerned
OH,Republican,Moderate,Nothing in particular,Every time,Not at all concerned
UT,Republican,Very conservative,"Church of Christ, or Disciples of Christ (Christian Church)",Never,Not at all concerned
OH,Republican,Very conservative,Protestant,Never,Not at all concerned
KY,Republican,Somewhat conservative,Methodist,Never,Not at all concerned
WA,Independent,Somewhat liberal,Nothing in particular,Every time,Somewhat concerned
NC,Republican,Very conservative,Protestant,Never,Not at all concerned
WV,Republican,Somewhat conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
TN,Republican,Very conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not very concerned
PA,Democrat,Very conservative,Protestant,Never,Not at all concerned
NC,Independent,Moderate,Nothing in particular,Never,Somewhat concerned
NY,Democrat,Moderate,"Catholic, Roman Catholic",Never,Not at all concerned
CA,Democrat,Moderate,Protestant,Never,Very concerned
NY,Republican,Very conservative,Christian (Just Christian),Never,Not at all concerned
MI,Democrat,Very liberal,Protestant,Never,Very concerned
CA,Democrat,Somewhat liberal,Protestant,Never,Very concerned
CA,Republican,Very conservative,Christian (Just Christian),Never,Not at all concerned
TX,Democrat,Somewhat liberal,Nothing in particular,Never,Very concerned
FL,Democrat,Moderate,Christian (Just Christian),Not applicable/Does not have vaginal intercourse/sex,Not very concerned
SD,Democrat,Somewhat liberal,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
NY,Democrat,Somewhat conservative,Nothing in particular,Never,Very concerned
CT,Refused,Somewhat liberal,"Catholic, Roman Catholic",Never,Very concerned
MA,Republican,Very conservative,Atheist,Never,Not at all concerned
MI,Democrat,Moderate,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
MO,Democrat,Very liberal,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Not applicable/don't believe in birth control
CT,Democrat,Very liberal,"Catholic, Roman Catholic",Never,Very concerned
NC,Independent,Somewhat conservative,Protestant,Never,Not very concerned
NY,Independent,Moderate,"Pentecostal (Assemblies of God, Four-Square Gospel)",Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
KS,Independent,Somewhat liberal,Protestant,Every time,Somewhat concerned
OH,Republican,Somewhat liberal,Baptist,Never,Not at all concerned
MO,Democrat,Somewhat liberal,Protestant,Every time,Very concerned
MT,Refused,Refused,Refused,Never,Not at all concerned
FL,Republican,Somewhat conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
MN,Republican,Very conservative,"Catholic, Roman Catholic",Never,Not at all concerned
MD,Democrat,Moderate,Jewish/Judaism,Never,Not at all concerned
IN,Democrat,Very conservative,Protestant,Every time,Not very concerned
OH,Democrat,Somewhat liberal,Presbyterian,Never,Very concerned
MN,Republican,Very conservative,Lutheran,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
DE,Democrat,Somewhat conservative,Baptist,Never,Not at all concerned
MD,Independent,Moderate,"Catholic, Roman Catholic",Never,Very concerned
ME,Republican,Very conservative,Protestant,Never,Somewhat concerned
TX,Democrat,Moderate,"Catholic, Roman Catholic",Never,Very concerned
GA,Republican,Somewhat conservative,"Catholic, Roman Catholic",Never,Not very concerned
OH,Independent,Somewhat conservative,Nothing in particular,Almost every time,Somewhat concerned
FL,Democrat,Moderate,Jewish/Judaism,Never,Very concerned
NY,Democrat,Somewhat liberal,Protestant,Every time,Very concerned
OH,Independent,Moderate,Nothing in particular,Never,Somewhat concerned
NC,Democrat,Somewhat liberal,Nothing in particular,Every time,Not at all concerned
GA,Democrat,Somewhat liberal,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Not very concerned
PA,Republican,Somewhat conservative,Refused,Every time,Not at all concerned
FL,Republican,Very conservative,Protestant,Never,Not at all concerned
FL,Democrat,Very liberal,Christian (Just Christian),Every time,Not at all concerned
IN,Democrat,Somewhat liberal,"Catholic, Roman Catholic",Every time,Very concerned
GA,Democrat,Somewhat liberal,Christian (Just Christian),Once in a while,Not very concerned
SC,Independent,Moderate,Agnostic,Never,Very concerned
PA,Republican,Somewhat conservative,Protestant,Never,Not at all concerned
DE,Independent,Moderate,Protestant,Once in a while,Somewhat concerned
TX,Democrat,Moderate,Christian (Just Christian),Almost every time,Not very concerned
NC,Independent,Somewhat conservative,Nothing in particular,Almost every time,Not very concerned
TX,Independent,Very conservative,"Catholic, Roman Catholic",Never,Not at all concerned
FL,Don't know,Don't know,Refused,Not applicable/Does not have vaginal intercourse/sex,Very concerned
VA,Independent,Moderate,Protestant,Every time,Not very concerned
MA,Independent,Somewhat liberal,Nothing in particular,Every time,Very concerned
FL,Republican,Somewhat liberal,Buddhist,Never,Not at all concerned
FL,Democrat,Moderate,Church of God,Once in a while,Not very concerned
NY,Republican,Very conservative,Atheist,Every time,Somewhat concerned
NC,Democrat,Somewhat conservative,Protestant,Every time,Somewhat concerned
SC,Republican,Very conservative,Christian (Just Christian),Once in a while,Not at all concerned
DE,Democrat,Very liberal,Atheist,Every time,Very concerned
NC,Independent,Moderate,Christian (Just Christian),Never,Somewhat concerned
FL,Democrat,Somewhat conservative,Christian (Just Christian),About half the time,Very concerned
PA,Republican,Moderate,"Catholic, Roman Catholic",Never,Not at all concerned
SC,Republican,Very conservative,Nothing in particular,Every time,Not very concerned
FL,Republican,Somewhat liberal,Protestant,Never,Not at all concerned
MI,Democrat,Moderate,Atheist,Never,Not very concerned
FL,Democrat,Moderate,Christian (Just Christian),Every time,Somewhat concerned
KY,Republican,Somewhat conservative,Protestant,Every time,Not very concerned
PA,Independent,Refused,Refused,Never,Not at all concerned
ME,Independent,Moderate,Nothing in particular,Never,Not at all concerned
VA,Republican,Very conservative,Protestant,Almost every time,Somewhat concerned
MD,Democrat,Very conservative,Christian (Just Christian),Every time,Very concerned
VA,Independent,Somewhat conservative,Atheist,Almost every time,Not very concerned
FL,Independent,Moderate,Agnostic,Almost every time,Very concerned
NC,Independent,Very liberal,Nothing in particular,Every time,Very concerned
TN,Democrat,Moderate,"Catholic, Roman Catholic",Every time,Very concerned
MA,Republican,Somewhat conservative,"Catholic, Roman Catholic",Never,Not very concerned
FL,Republican,Very conservative,Protestant,Never,Not at all concerned
NJ,Republican,Somewhat conservative,Protestant,Never,Not at all concerned
GA,Independent,Moderate,Protestant,Every time,Very concerned
